,Name,Type,Score,Rank,Popularity,Members,URL
144,Kouya no Kotobuki Hikoutai Gaiden: Oozora no Harukaze Hikoutai,ONA,7.25,#12247,#9904,712,https://myanimelist.net/anime/39589/Kouya_no_Kotobuki_Hikoutai_Gaiden__Oozora_no_Harukaze_Hikoutai
145,Doupo Cangqiong 2nd Season Specials,ONA,7.18,#2984,#10470,512,https://myanimelist.net/anime/39178/Doupo_Cangqiong_2nd_Season_Specials
146,Chikin Ramen x Gudetama,ONA,4.68,#11144,#11341,339,https://myanimelist.net/anime/39659/Chikin_Ramen_x_Gudetama
147,"Hi no Tori ""Dougo Onsen-hen""",ONA,N/A,N/A,#12211,233,https://myanimelist.net/anime/39663/Hi_no_Tori_Dougo_Onsen-hen
148,Ling Long: Incarnation,ONA,N/A,N/A,#13304,169,https://myanimelist.net/anime/39675/Ling_Long__Incarnation
149,Essential Free & Easy Cool Wax Danshi,ONA,4.85,#10442,#13692,146,https://myanimelist.net/anime/39650/Essential_Free___Easy_Cool_Wax_Danshi
150,Meichuxi De Yinyangshi Yijia,ONA,8.14,#12480,#13750,143,https://myanimelist.net/anime/39678/Meichuxi_De_Yinyangshi_Yijia
151,Niigata no Edamame-ou Shiba,ONA,4.58,#12734,#14257,125,https://myanimelist.net/anime/39696/Niigata_no_Edamame-ou_Shiba
152,Qin Shi Ming Yue: Tian Xing Jiu Ge 2nd Season,ONA,8.50,#13113,#14361,113,https://myanimelist.net/anime/39823/Qin_Shi_Ming_Yue__Tian_Xing_Jiu_Ge_2nd_Season
153,"Taka no Tsume-dan Yoshida Presents ""Sengoku Taiga"" no Susume",ONA,5.43,#13602,#15322,67,https://myanimelist.net/anime/39762/Taka_no_Tsume-dan_Yoshida_Presents_Sengoku_Taiga_no_Susume
154,Ganbare! Kakure Ase Project,ONA,5.86,#11445,#15348,74,https://myanimelist.net/anime/39840/Ganbare_Kakure_Ase_Project
155,Taka no Tsume x Johnson: Tatakae! Jokin Shitennou,ONA,5.67,#13600,#15410,59,https://myanimelist.net/anime/39839/Taka_no_Tsume_x_Johnson__Tatakae_Jokin_Shitennou
156,Onna Maou Melissa no H na Boukenki,ONA,4.00,N/A,#15730,32,https://myanimelist.net/anime/39842/Onna_Maou_Melissa_no_H_na_Boukenki
157,Fate/Kaleid Liner PrismaâIllya: PrismaâPhantasm,OVA,N/A,N/A,#5129,"5,822",https://myanimelist.net/anime/38897/Fate_Kaleid_Liner_PrismaâIllya__PrismaâPhantasm
158,Kyochuu Rettou,OVA,N/A,N/A,#6532,"3,185",https://myanimelist.net/anime/38915/Kyochuu_Rettou
159,Bean Bandit,OVA,N/A,N/A,#7481,"2,089",https://myanimelist.net/anime/37483/Bean_Bandit
